method,energy_inside_bbox_mean,energy_inside_bbox_std,iou_mean,iou_std,pointing_game_mean,fidelity_delta_prob_mean,stability_corr_mean,stability_mad_mean
Grad-CAM,0.18842020186129957,0.165894829005601,0.1747361075428604,0.1229319995999824,0.3,0.1994476057589054,0.9942477658435903,0.011220289164339193
Grad-CAM++,0.17095668578986079,0.1655589854382369,0.12324554759771603,0.09759221634911718,0.2,0.14286622703075408,0.9984748475707519,0.008459747082088142
Integrated Gradients,0.2784925326704979,0.19719886583134666,0.20300320373994124,0.10320505815839845,0.6,0.14120828360319138,0.8834200634899947,0.008634892757982016
