method,energy_mean,energy_std,iou_mean,iou_std,pointing_mean,fidelity_mean,stability_corr
Grad-CAM,0.25446197593268927,0.16770383974737843,0.24860291113603925,0.15022164857276082,0.42424242424242425,0.30357306883437557,0.9502437017252564
Grad-CAM++,0.23880637492984533,0.15602489001171987,0.259580339205552,0.13554705522951135,0.39,0.3090374454529956,0.982720917350256
Integrated Gradients,0.2741971049271524,0.1562294501593262,0.21725561000452728,0.09817699190971722,0.68,0.1774999952921644,0.6449786087525077
